 0.1000E+04  0.1761E+06  0.2791E+08  0.8472E+11   0.3204E+12
 0.9461E-02 -0.1337E+00  0.1096E+00 -0.6645E-01  -0.1402E+00
 0.4267E-01  0.0000E+00 -0.1908E+00 -0.9741E-01   0.5722E-01   
 0.1795E-02 -0.1246E-01 -0.2077E-03  0.1228E-02   0.1126E-02  
-0.7990E-05  0.0000E+00  0.4835E-05  0.4498E-05  -0.2078E-05
 0.3367E-02 -0.1930E-01  0.2112E-02  0.5358E-02   0.3424E-02
 0.2263E-01 -0.6000E-01  0.2212E-03  0.2557E-02  -0.1159E-01
 0.3786E-01 -0.2000E-01 -0.1617E+00 -0.9822E-01   0.5516E-01
-0.1923E-01  0.5878E-01 -0.9222E-01  0.1009E-01  -0.1005E-01 
-0.9241E-02  0.0000E+00 -0.8301E-02  0.6261E-02  -0.4390E-01
-0.2107E+03  0.9227E+02  0.2135E+03  0.1156E+02   0.1959E+03
 0.1032E-01  0.0000E+00  0.2350E+00  0.1760E+00   0.3248E-01
 0.2886E-01  0.0000E+00 -0.7905E-01 -0.7128E-01   0.5650E-01
-0.7631E+02  0.0000E+00  0.1104E+03  0.1064E+03   0.8820E+02
-0.1850E+00  0.3301E+00 -0.1268E+01  0.3329E+00   0.2881E+00
-0.2031E-01  0.1045E+00 -0.1851E+01 -0.1145E+00  -0.3143E-01
 0.1447E-01  0.0000E+00  0.6662E-01 -0.4242E-02   0.0000E+00
-0.3631E+01 -0.1477E+02 -0.1870E+03 -0.6751E+00  -0.2001E+03
-0.2894E-01 -0.9065E-01 -0.4215E-01 -0.4171E-01   0.6070E-01
-0.1737E+03 -0.7200E+02 -0.2167E+03  0.1344E+03   0.5115E+02
-0.1082E+00  0.2094E-00 -0.1278E+00 -0.6593E-01  -0.4610E-01
-0.1999E-02  0.2830E-01 -0.6182E-02 -0.1934E-01  -0.9700E-02
 0.3397E-02  0.0000E+00 -0.1745E-01 -0.8585E-02   0.3491E-02
-0.1613E-01  0.8571E-01 -0.4360E-01  0.8635E-01   0.0000E+00
-0.9609E-02 -0.2475E-01 -0.5285E-01  0.8568E-01   0.0000E+00
-0.1045E+00  0.3830E+00  0.3120E+00  0.4549E-01  -0.7333E-01
 0.4575E-02  0.2941E-01 -0.2137E-01 -0.3872E-01   0.2116E-01
 0.4584E-02  0.0000E+00 -0.2453E-01 -0.1287E-01   0.7033E-02
 0.1776E-01 -0.3974E-02 -0.3673E-02 -0.9178E-01   0.0000E+00
-0.4227E-02  0.4356E-01 -0.8833E-01  0.4262E-01   0.0000E+00
-0.3567E-02  0.0000E+00  0.3399E-01  0.4339E-01  -0.6920E-02
-0.3606E-03  0.0000E+00  0.5131E-02  0.5689E-02   0.0000E+00
 0.1049E-01  0.0000E+00 -0.1474E-01  0.6651E-02  -0.7290E-02
 0.4571E-02  0.0000E+00  0.8556E-02 -0.1017E-01   0.0000E+00
-0.2175E-04  0.0000E+00  0.1957E-02  0.2706E-02  -0.2920E-02
 0.1511E-02  0.0000E+00 -0.4503E-02 -0.4710E-02   0.2705E-02
 0.2167E-02  0.0000E+00 -0.1024E+00 -0.1464E-01  -0.5994E-02
-0.1142E-05  0.0000E+00 -0.1687E-04 -0.6406E-05   0.0000E+00
 0.6582E-04  0.0000E+00 -0.1426E-02  0.1518E.02   0.8213E-02
 
 
